artist_id,artist
123,6th Lane
63,ajith muthukumarana
1,Amarasiri Peris
73,Amasha Tissera
48,Amila Nidahasa
107,Anushka Udana
33,Api Machan
110,Asadithaya ft. Hiruwa
2,Asanka Priyamantha
86,Athma Liyanage
54,Athula Adikari
10,Bachi Susan
13,Billy Fernando
79,BnS
94,Buddika Ushan
44,Cairo Rich 
82,Centigradz
55,Chamara Weerasinghe
119,Chamila Madushan
109,Chanuka Mora
28,Charith Attalage
26,Charitha Priyadarshani
134,Chathuranga ft. Pavarindu
16,Chitral Somapala
45,Clarence Wijewardena
4,Daddy
56,Damith Asanka
122,Danapala Udawaththa
8,DanithSri
29,Dasun Madushan
108,Dayan Witharana
88,Deepika Priyadarshani Peries
95,Dilmin Perera
100,Dilshan Weerasinghe
93,Dushan Jayathilaka
112,Dushyanth Weeraman
24,Edward Jayakody
19,Funcky Dirt
53,Gunadasa Kapuge
40,Gypsies
81,H. R. Jothipala
46,Harsha Withanage
114,Harshadewa Ariyasinghe
120,Hiran Kanchana
113,Hirushi
132,Indika Upamali
14,Indrachapa Liyanage
92,Indrani Perera
11,Iraj Weeraratne
58,Jaya shri
97,Jude Rogans
101,Kalpana Kavindi
32,Kamal Addaraarachchi 
103,Kanchana Anuradhi
89,Kanishka Abeysinghe
59,Karunarathna Divilgane
5,Kasun Kalhara
105,Kaveesha Kaviraj
137,Kavindya Adikar
38,Keerthi Paskuwel
64,kingsly peries
98,Lahiru Liyanage
12,Lahiru Perera
111,Lavan Abhishek 
27,Lionel Ranwala
130,Malani Bulathsinhala
39,Marians
136,Master D ft. Dota Yums
35,Maya Damayanthi
102,Meena Prasadini
42,Mihindu Ariyarathne
57,Milton Mallawarachchi
118,Nadeeka Guruge
71,Nadeeka Jayawardena
30,Nadeemal Perera
106,Nadeera HelaSri
52,Nanda Malini
25,Neela Wickramasinghe
23,Nelu Adikari
91,Nemesis
117,Neo ft. Freaky MobBig
78,Nilan Hettiarachchi
21,Nirosha Virajini
131,Nishshanka Diddeniya
70,Pasan Liyanage
67,Piyath Rajapaksha
126,Pradeep Rangana
124,Prithvi Akash
36,Priya Sooriyasena
85,Priyal Amarasinghe
99,Radeesh Vandebona
74,Randir
76,Ranidu Lankage
18,Raveen Kanishka
34,Ravi Jay
135,Ravindra Yasas
15,Ridma Weerawardene
43,Rohitha Rajapakshe
49,Romesh Sugathapala
41,Rookantha Gunathilake
96,Roshan Fernando
83,Ruwan Hettiarachchi
127,Sadara Bandara & Sadeeshe Mohotti
69,Sajitha Anthony
104,Saman Indika
116,Sameera Weerasinghe
22,Samitha Mudunkotuwa
90,Sandeep Jayalath
66,Sangeeth Iddamalgoda
31,Sangeeth Wijesuriya
77,Sanka Dineth
7,Sanuka Wickramasinghe
50,Senaka Batagoda
84,Shashika Nisansala
133,Shehan Kaushalya
62,Shihan Mihiranga
51,Singing potatoes
60,Somathilaka Jayamaha
121,Soorya Dayaruwan
20,Sunil Edirisinghe
37,Supun Perera
80,Surani De Mel
9,T.M Jayaratne
75,Tehan Perera
47,Tharindu damsara
87,Umara Singhawansha
3,Umariya Sinhawansha
61,Victor Rathnayake
115,Vidula Ravishara
68,Vidusha Ravihara
17,W.D Amaradewa
6,Wayo
128,WePlus
65,YAKA Crew
125,Yasas Medagedara
72,Yohani Desilva
129,Yuki